lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,d_green,g_robinson_iii,d_russell,w_cauley_stein,d_lee,a_burks,e_paschall,m_chriss,o_spellman,k_bowman,j_poole,a_wiggins,m_mulder,j_toscano_anderson,j_evans,d_bender,c_randle,s_curry,k_looney,a_smailagic,j_pargo,z_norvell_jr
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".D. Green, .G. Robinson III, .D. Russell, .W. Cauley-Stein, .D. Lee",GSW,10,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,342,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
".A. Burks, .D. Green, .G. Robinson III, .W. Cauley-Stein, .E. Paschall",GSW,7,95.4,108.3,-12.9,76.8,2.39,20.6,18.4,65.5,43.6,0.1,45.4,50.2,97.29,48,54,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
